[2020-11-27T04:08:55.736735+00:00] log.DEBUG: SELECT `Per_Position_id` AS `lf`, `Per_Position_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_position` [] []
[2020-11-27T04:08:55.833508+00:00] log.DEBUG: SELECT `Per_major_id` AS `lf`, `Per_major_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_major` [] []
[2020-11-27T04:08:55.915784+00:00] log.DEBUG: SELECT `Per_Administrative_id` AS `lf`, `Per_Administrative_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_administrative` [] []
[2020-11-27T04:08:55.976558+00:00] log.DEBUG: SELECT `Per_Academic_id` AS `lf`, `Per_Academic_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_academic` [] []
[2020-11-27T04:08:56.050469+00:00] log.DEBUG: SELECT `Per_Nationality_id` AS `lf`, `Per_Nationality_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_nationality` [] []
[2020-11-27T04:08:56.125730+00:00] log.DEBUG: SELECT `Per_Religion_id` AS `lf`, `Per_Religion_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_religion` [] []
[2020-11-27T04:08:56.182686+00:00] log.DEBUG: SELECT `Per_WorkStatus_id` AS `lf`, `Per_WorkStatus_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_workstatus` [] []
[2020-11-27T04:09:06.219700+00:00] log.DEBUG: SELECT `Per_Id` AS `lf`, `Per_Id` AS `df`, `Per_ThaiName` AS `df2`, `Per_ThaiLastName` AS `df3`, '' AS `df4` FROM `01-personnel` [] []
[2020-11-27T04:09:06.295975+00:00] log.DEBUG: SELECT `Grad_Admission_id` AS `lf`, `Grad_Admission_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `grad_admission` [] []
[2020-11-27T04:10:09.606548+00:00] log.DEBUG: SELECT `Per_Id` AS `lf`, `Per_Id` AS `df`, `Per_ThaiName` AS `df2`, `Per_ThaiLastName` AS `df3`, '' AS `df4` FROM `01-personnel` [] []
[2020-11-27T04:10:09.680255+00:00] log.DEBUG: SELECT `Grad_Admission_id` AS `lf`, `Grad_Admission_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `grad_admission` [] []
[2020-11-27T04:11:40.525611+00:00] log.DEBUG: SELECT `Per_Id` AS `lf`, `Per_Id` AS `df`, `Per_ThaiName` AS `df2`, `Per_ThaiLastName` AS `df3`, '' AS `df4` FROM `01-personnel` [] []
[2020-11-27T04:11:40.590517+00:00] log.DEBUG: SELECT `Grad_Admission_id` AS `lf`, `Grad_Admission_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `grad_admission` [] []
[2020-11-27T04:12:44.057354+00:00] log.DEBUG: SELECT `Per_Id` AS `lf`, `Per_Id` AS `df`, `Per_ThaiName` AS `df2`, `Per_ThaiLastName` AS `df3`, '' AS `df4` FROM `01-personnel` [] []
[2020-11-27T04:12:44.160366+00:00] log.DEBUG: SELECT `Grad_Admission_id` AS `lf`, `Grad_Admission_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `grad_admission` [] []
[2020-11-27T04:17:48.230506+00:00] log.DEBUG: SELECT `Per_Type_id` AS `lf`, `Per_Type_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_type` [] []
[2020-11-27T04:17:48.310086+00:00] log.DEBUG: SELECT `Per_EmployeeType_id` AS `lf`, `Per_EmployeeType_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_employeetype` [] []
[2020-11-27T04:17:48.402413+00:00] log.DEBUG: SELECT `Per_major_id` AS `lf`, `Per_major_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_major` [] []
[2020-11-27T04:17:48.493193+00:00] log.DEBUG: SELECT `Per_Administrative_id` AS `lf`, `Per_Administrative_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_administrative` [] []
[2020-11-27T04:17:48.590399+00:00] log.DEBUG: SELECT `Per_Position_id` AS `lf`, `Per_Position_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_position` [] []
[2020-11-27T04:17:48.691211+00:00] log.DEBUG: SELECT `Per_Academic_id` AS `lf`, `Per_Academic_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_academic` [] []
[2020-11-27T04:17:48.759868+00:00] log.DEBUG: SELECT `Per_Nationality_id` AS `lf`, `Per_Nationality_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_nationality` [] []
[2020-11-27T04:17:48.830198+00:00] log.DEBUG: SELECT `Per_Religion_id` AS `lf`, `Per_Religion_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_religion` [] []
[2020-11-27T04:17:48.899894+00:00] log.DEBUG: SELECT `Per_WorkStatus_id` AS `lf`, `Per_WorkStatus_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_workstatus` [] []
[2020-11-27T04:18:30.588766+00:00] log.DEBUG: SELECT `Per_Type_id` AS `lf`, `Per_Type_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_type` [] []
[2020-11-27T04:18:30.673052+00:00] log.DEBUG: SELECT `Per_Academic_id` AS `lf`, `Per_Academic_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_academic` [] []
[2020-11-27T04:18:30.756410+00:00] log.DEBUG: SELECT `Per_EmployeeType_id` AS `lf`, `Per_EmployeeType_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_employeetype` [] []
[2020-11-27T04:18:30.845910+00:00] log.DEBUG: SELECT `Per_Position_id` AS `lf`, `Per_Position_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_position` [] []
[2020-11-27T04:18:30.941093+00:00] log.DEBUG: SELECT `Per_Administrative_id` AS `lf`, `Per_Administrative_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_administrative` [] []
[2020-11-27T04:18:31.016677+00:00] log.DEBUG: SELECT `Per_major_id` AS `lf`, `Per_major_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_major` [] []
[2020-11-27T04:18:31.091736+00:00] log.DEBUG: SELECT `Per_Nationality_id` AS `lf`, `Per_Nationality_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_nationality` [] []
[2020-11-27T04:18:31.150216+00:00] log.DEBUG: SELECT `Per_Religion_id` AS `lf`, `Per_Religion_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_religion` [] []
[2020-11-27T04:18:31.209000+00:00] log.DEBUG: SELECT `Per_WorkStatus_id` AS `lf`, `Per_WorkStatus_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_workstatus` [] []
